Year_Birth,Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Children,Age,Partner,Family_Size,Age_Category,MntTotal,Cluster
1957.0,Graduated,58138.0,0,0,58.0,635.0,88.0,546.0,172.0,88.0,88.0,3.0,8.0,10.0,4.0,7.0,0,0,0,0,0,0.0,3,11,1,0,66.0,Not Partner,1,Elderly,1617.0,0
1954.0,Graduated,46344.0,1,1,38.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,5.0,0,0,0,0,0,0.0,3,11,0,2,69.0,Not Partner,3,Elderly,27.0,4
1965.0,Graduated,71613.0,0,0,26.0,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10.0,4.0,0,0,0,0,0,0.0,3,11,0,0,58.0,Partner,2,Adult,776.0,2
1984.0,Graduated,26646.0,1,0,26.0,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,0,0,0,0,0,0.0,3,11,0,1,39.0,Partner,3,Adult,53.0,1
1981.0,Post Graduated,58293.0,1,0,94.0,173.0,43.0,118.0,46.0,27.0,15.0,5.0,5.0,3.0,6.0,5.0,0,0,0,0,0,0.0,3,11,0,1,42.0,Partner,3,Adult,422.0,2
1967.0,Post Graduated,62513.0,0,1,16.0,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10.0,6.0,0,0,0,0,0,0.0,3,11,0,1,56.0,Partner,3,Adult,716.0,2
1971.0,Graduated,55635.0,0,1,34.0,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7.0,6.0,0,0,0,0,0,0.0,3,11,0,1,52.0,Not Partner,2,Adult,590.0,0
1985.0,Post Graduated,33454.0,1,0,32.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,0,0,0,0,0,0.0,3,11,0,1,38.0,Partner,3,Adult,169.0,1
1974.0,Post Graduated,30351.0,1,0,19.0,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,9.0,0,0,0,0,0,0.0,3,11,1,1,49.0,Partner,3,Adult,46.0,1
1950.0,Post Graduated,7579.200000000001,1,1,68.0,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,2.0,9.0,1,0,0,0,0,0.0,3,11,0,2,73.0,Partner,4,Elderly,49.0,3
1976.0,Not Graduated,7579.200000000001,0,0,59.0,6.0,16.0,11.0,11.0,1.0,16.0,1.0,2.0,0.0,3.0,8.0,0,0,0,0,0,0.0,3,11,0,0,47.0,Partner,2,Adult,61.0,0
1959.0,Graduated,63033.0,0,0,82.0,194.0,61.0,480.0,225.0,112.0,30.0,1.0,3.0,4.0,8.0,2.0,0,0,0,0,0,0.0,3,11,0,0,64.0,Not Partner,1,Elderly,1102.0,0
1952.0,Post Graduated,59354.0,1,1,53.0,233.0,2.0,53.0,3.0,5.0,14.0,3.0,6.0,1.0,5.0,6.0,0,0,0,0,0,0.0,3,11,0,2,71.0,Not Partner,3,Elderly,310.0,3
1987.0,Graduated,17323.0,0,0,38.0,3.0,14.0,17.0,6.0,1.0,5.0,1.0,1.0,0.0,3.0,8.0,0,0,0,0,0,0.0,3,11,0,0,36.0,Partner,2,Adult,46.0,0
1946.0,Post Graduated,82800.0,0,0,23.0,1006.0,22.0,115.0,59.0,68.0,45.0,1.0,7.0,6.0,12.0,3.0,0,0,1,1,0,0.0,3,11,1,0,77.0,Not Partner,1,Elderly,1315.0,1
1980.0,Graduated,41850.0,1,1,51.0,53.0,5.0,19.0,2.0,13.0,4.0,3.0,3.0,0.0,3.0,8.0,0,0,0,0,0,0.0,3,11,0,2,43.0,Partner,4,Adult,96.0,1
1946.0,Graduated,37760.0,0,0,20.0,84.0,5.0,38.0,150.0,12.0,28.0,2.0,4.0,1.0,6.0,7.0,0,0,0,0,0,0.0,3,11,0,0,77.0,Partner,2,Elderly,317.0,2
1949.0,Post Graduated,76995.0,0,1,91.0,1012.0,80.0,498.0,0.0,16.0,176.0,2.0,11.0,4.0,9.0,5.0,0,0,0,1,0,0.0,3,11,0,1,74.0,Partner,3,Elderly,1782.0,4
