Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Age,Partner,Family_Size,Age_Category,MntTotal,Cluster
Graduated,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,66,Not Partner,1,Elderly,1617,2
Graduated,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,2,69,Not Partner,3,Elderly,27,3
Graduated,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,58,Partner,2,Adult,776,1
Graduated,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,1,39,Partner,3,Adult,53,0
Post Graduated,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,1,42,Partner,3,Adult,422,0
Post Graduated,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,1,56,Partner,3,Adult,716,1
Graduated,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,1,52,Not Partner,2,Adult,590,1
Post Graduated,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,1,38,Partner,3,Adult,169,0
Post Graduated,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,1,49,Partner,3,Adult,46,0
Post Graduated,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,2,73,Partner,4,Elderly,49,3
Graduated,,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,1,40,Partner,3,Adult,19,0
Not Graduated,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,47,Partner,2,Adult,61,2
Graduated,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0,64,Not Partner,1,Elderly,1102,3
Post Graduated,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,2,71,Not Partner,3,Elderly,310,0
Graduated,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,36,Partner,2,Adult,46,2
Post Graduated,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,0,77,Not Partner,1,Elderly,1315,0
Graduated,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,2,43,Partner,4,Adult,96,1
Graduated,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0,77,Partner,2,Elderly,317,1
Post Graduated,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1,74,Partner,3,Elderly,1782,0
Graduated,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1,38,Not Partner,2,Adult,133,0
Graduated,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0,41,Partner,2,Adult,316,1
Graduated,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1,44,Partner,3,Adult,1730,1
Post Graduated,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,1,74,Partner,3,Elderly,972,1
Post Graduated,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1,69,Partner,3,Elderly,544,3
Graduated,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,1,72,Partner,3,Elderly,444,0
Graduated,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,54,Not Partner,1,Adult,75,3
Graduated,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,2,47,Partner,4,Adult,257,0
Graduated,,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,1,37,Not Partner,2,Adult,637,2
Graduated,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,1,34,Partner,3,Adult,131,0
Post Graduated,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,0,58,Partner,2,Adult,1672,0
Post Graduated,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,34,Not Partner,1,Adult,30,0
Post Graduated,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,60,Partner,2,Adult,318,3
Graduated,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,1,53,Partner,3,Adult,120,1
Post Graduated,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,2,71,Not Partner,3,Elderly,302,3
Post Graduated,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,77,Partner,2,Elderly,1196,1
Post Graduated,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,2,72,Not Partner,3,Elderly,65,0
Post Graduated,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,1,53,Partner,3,Adult,913,0
Graduated,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,1,47,Partner,3,Adult,81,1
Graduated,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,50,Not Partner,2,Adult,67,2
Post Graduated,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,0,80,Not Partner,1,Elderly,902,0
Graduated,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1,43,Partner,3,Adult,1395,3
Post Graduated,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,1,38,Partner,3,Adult,53,0
Graduated,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,1,66,Partner,3,Elderly,22,2
Post Graduated,,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,0,64,Not Partner,1,Elderly,186,0
Post Graduated,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,1,48,Partner,3,Adult,31,0
Graduated,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,47,Not Partner,1,Adult,984,1
Graduated,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0,27,Partner,2,Young,122,1
Graduated,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,1,55,Partner,3,Adult,55,2
Graduated,,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,3,72,Not Partner,4,Elderly,124,0
Post Graduated,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,2,69,Partner,4,Elderly,1319,2
Graduated,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1,66,Not Partner,2,Elderly,507,3
Post Graduated,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,59,Partner,2,Adult,1693,2
Graduated,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,46,Not Partner,2,Adult,72,2
Graduated,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,0,46,Not Partner,1,Adult,1617,0
Graduated,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,2,45,Partner,4,Adult,606,3
Post Graduated,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0,68,Partner,2,Elderly,1957,2
Graduated,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,57,Not Partner,1,Adult,1093,3
Graduated,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,1,35,Not Partner,2,Adult,29,1
Graduated,,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,1,41,Not Partner,2,Adult,46,1
Post Graduated,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,1,55,Partner,3,Adult,518,1
Post Graduated,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,0,41,Not Partner,1,Adult,1438,0
Graduated,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,2,48,Partner,4,Adult,612,0
Graduated,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,1,71,Not Partner,2,Elderly,884,2
Post Graduated,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,1,72,Not Partner,2,Elderly,606,1
Graduated,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,75,Partner,2,Elderly,1076,1
Graduated,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,1,52,Partner,3,Adult,34,1
Graduated,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2,56,Partner,4,Adult,11,1
Graduated,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,1,44,Not Partner,2,Adult,1274,3
Graduated,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,1,65,Partner,3,Elderly,653,3
Graduated,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,3,53,Partner,5,Adult,1562,0
Post Graduated,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,0,69,Partner,2,Elderly,1253,2
